,comment_text,target
614,broomfield      s style of journalism is hardly journalism at all     and even those with an avid interest in the subject will grow impatient ,0
615,an interesting story of pointed personalities     courage     tragedy and the little guys vs    the big guys ,1
616,dialogue and likeable characters ,1
617,its seemingly eternal running time to pique your interest     your imagination     your empathy or anything     really     save your disgust and your indifference ,0
618,pushes for insights beyond the superficial tensions of the dynamic he      s dissecting ,0
619,to accomplish what few sequels can ,1
620,entirely believable ,1
621,is as difficult for the audience to take as it ,0
622,mr    nachtwey has traveled to places in the world devastated by war     famine and poverty and documented the cruelty and suffering he has found with an devastating     eloquent clarity     ,1
623,propels ,1
624,is a monumental achievement in practically every facet of inept filmmaking     ,0
625,stodgy ,0
626,most savagely hilarious ,1
627,of the obvious cliches ,0
628,highly watchable     giggly little story ,1
629,treasure and ,1
630,that parade about as if they were coming back from stock character camp            a drowsy drama infatuated by its own pretentious self     examination ,0
631,sounds whiny and defensive     as if his life     altering experiences made him bitter and less mature ,0
632,at every opportunity to do something clever     the film goes right over the edge and kills every sense of believability           all you have left is a no     surprise series of explosions and violence while banderas looks like he      s not trying to laugh at how bad it ,0
633,so muddled and derivative that few will bother thinking it all through ,0
634,likely to have decades of life as a classic movie franchise ,1
635,a stunning film     a one     of     a     kind tour de force ,1
636,a bizarre piece of work     with premise and dialogue at the level of kids       television and plot threads as morose as teen pregnancy     rape and suspected murder ,0
637,easy     seductive ,1
638,much of this slick and sprightly cgi feature is sufficiently funny to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings     ,1
639,on its way ,1
640,a potentially good comic premise and ,1
641,wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many     ,1
642,see one of those comedies that just seem like a bad idea from frame one ,0
643,shimmering cinematography ,1
644,    that      ll be much funnier than anything in the film           ,0
645,is n     t heated properly     ,0
646,lifting the pedestal higher ,1
647,insultingly unbelievable final act ,0
648,ghandi gone bad ,0
649,refreshes the mind and spirit ,1
650,its charms and ,1
651,ruin ,0
652,too campy to work as straight drama and too violent and sordid to function as comedy     vulgar is     truly and thankfully     a one     of     a     kind work     ,0
653,dramatic things happen to people ,0
654,wisdom and emotion ,1
655,ca n     t believe anyone would really buy this stuff     ,0
656,ca n     t save it ,0
657,          spiced with humor           i speak fluent flatula           advises denlopp after a rather     er     bubbly exchange with an alien deckhand     ,1
658,the mill sci     fi film with a flimsy ending and ,0
659,a delightfully quirky movie to be made from curling ,1
660,that throws a bunch of hot     button items in the viewer      s face and asks to be seen as hip     winking social commentary ,1
661,even more important ,1
662,it is welcome to see a chinese film depict a homosexual relationship in a mature and frank fashion ,1
663,flaccid odd     couple sniping ,0
664,fang     baring lullaby ,0
665,totally ,1
666,rewarded ,1
667,drama     suspense     revenge     and romance ,1
668,neil burger here succeeded in           making the mystery of four decades back the springboard for a more immediate mystery in the present     ,1
669,bully ,0
670,apart from reporting on the number of tumbleweeds blowing through the empty theaters ,0
671,clever ideas and ,1
672,feeling like a great missed opportunity ,0
673,to be revealed by the dispassionate gantz brothers as ordinary     pasty lumpen ,0
674,a touching love story ,1
675,it      s true ,1
676,     s rare to see a movie that takes such a speedy swan dive from            promising            to            interesting            to            familiar            before landing squarely on            stupid                ,0
677,an old     fashioned drama of substance about a teacher ,1
678,rough edges ,0
679,by the end of the flick     you      re on the edge of your seat ,1
680,follows the formula     ,0
681,perfectly executed and ,1
682,have been lost in the translation this time ,0
683,the cliché     riddled genre can offer ,0
684,flopping ,0
685,get excited about on this dvd ,1
686,tickles ,1
687,sweet and gentle ,1
688,on the subgenre ,1
689,the viewer is left puzzled by the mechanics of the delivery ,0
690,this choppy and sloppy affair ,0
691,when all is said and done     she loves them to pieces            and ,1
692,a vile     incoherent mess           a scummy ripoff of david cronenberg      s brilliant       videodrome           ,0
693,dashing and absorbing ,1
694,does n     t make much ,0
695,a solidly entertaining little film ,1
696,eat up ,1
697,    if uneven     ,0
698,elevate            glory            above most of its ilk ,1
699,we have absolutely no idea who the main characters are until the film is well under way            and yet it      s hard to stop watching     ,1
700,with a curiously stylized     quasi     shakespearean portrait of pure misogynist evil ,1
701,in the wake of saving private ryan     black hawk down and we were soldiers     you are likely to be as heartily sick of mayhem as cage      s war     weary marine     ,0
702,will nevertheless find moving     ,1
703,put to sleep or bewildered by the artsy and often pointless visuals ,0
704,offer a fascinating glimpse into the subculture of extreme athletes whose derring     do puts the x into the games ,1
705,not quite ,0
706,adequately fills the eyes ,1
707,has severe body odor ,0
708,every joke is repeated at least            annoying     is n     t it     ,0
709,ploddingly sociological ,0
710,the sum of all fears pretends to be a serious exploration of nuclear terrorism     ,0
711,it      s a setup so easy it borders on facile     but keeping the film from cheap     shot mediocrity is its crack cast     ,1
712,expects people to pay to see it ,0
713,endless ,0
714,do that is really funny ,1
715,goes a long way toward restoring the luster of the national lampoon film franchise     too long reduced to direct     to     video irrelevancy     ,1
716,leather pants     ,1
717,          a plotline that      s as lumpy as two     day old porridge           the filmmakers       paws     sad to say     were all over this            un     bear     able            project     ,0
718,trudge out ,0
719,into the complexities of the middle east struggle and ,1
720,its storytelling prowess and ,1
721,much credit must be given to the water     camera operating team of don king     sonny miller     and michael stewart     ,1
722,make you feel guilty about ignoring what the filmmakers clearly believe ,0
723,its visual delights ,1
724,irresistibly than in       baran ,1
725,turns out to be more interesting than any of the character dramas     which never reach satisfying conclusions     ,1
726,shot but dull and ankle     deep       epic     ,0
727,they do n     t fit well together and neither is well told     ,0
728,works smoothly under the direction of spielberg     who does a convincing impersonation here of a director enjoying himself immensely     ,1
729,of obnoxious ,0
730,the emperor      s club turns a blind eye to the very history it pretends to teach     ,0
731,taking angry potshots at george w    bush     henry kissinger     larry king     et al     ,0
732,virtually absent ,0
733,fascinating little thriller ,1
734,of business notable largely for its overwhelming creepiness     for an eagerness to create images you wish you had n     t seen ,0
735,bump in the night and nobody cares ,0
736,the rueful     wry humor ,1
737,feels contrived     ,0
738,is frittered away in middle     of     the     road blandness     ,0
739,laggard drama wending its way to an uninspired philosophical epiphany ,0
740,knows everything and answers all questions     is visually smart     cleverly written     ,1
741,they are in this tepid genre offering ,0
742,vicious and absurd ,0
743,is too long with too little going on     ,0
744,unfolds as one of the most politically audacious films of recent decades from any country     but especially from france ,0
745,will indeed sit open     mouthed before the screen     not screaming but yawning ,0
746,i know i should n     t have laughed     but ,1
747,     s a whole heap of nothing at the core of this slight coming     of     age     coming     out tale ,0
748,little visible talent and ,0
749,convinced i could keep a family of five blind     crippled     amish people alive in this situation better than these british soldiers do at keeping themselves kicking ,0
750,as predictable as the tides ,0
751,something must have been lost in the translation     ,0
752,i have to put up with 146 minutes of it ,0
753,little else ,0
754,it      s as if solondz had two ideas for two movies     could n     t really figure out how to flesh either out     so ,0
755,of masters of both ,1
756,bittersweet dialogue that cuts to the chase of the modern girl      s dilemma     ,1
757,jostling against farce     thoughtful dialogue elbowed aside by one     liners     and a visual style that incorporates rotoscope animation for no apparent reason except     ,0
758,flaws     but also ,0
759,i am more offended by his lack of faith in his audience than by anything on display here     ,0
760,starts out ballsy and stylish but fails to keep it up and settles into clichés     ,0
761,multi     layers ,1
762,emotionally devastating ,0
763,lyrical and celebratory vision ,1
764,drawing flavorful performances from bland actors ,1
765,has the stomach     knotting suspense of a legal thriller     ,1
766,may well be the year      s best and most unpredictable comedy     ,1
767,you see the movie and you think     zzzzzzzzz     ,0
768,fails so fundamentally on every conventional level that it achieves some kind of goofy grandeur ,0
769,though jackson does n     t always succeed in integrating the characters in the foreground into the extraordinarily rich landscape     it must be said that he is an imaginative filmmaker who can see the forest for the trees     ,1
770,mike shoots and scores ,1
771,recommend waiting for dvd and just skipping straight to her scenes ,0
772,it would      ve reeked of a been     there     done     that sameness     ,0
773,light nor magical enough to bring off this kind of whimsy ,0
774,the disadvantage of also looking cheap ,0
775,transcendent ,1
776,potentially trite and overused concept ,0
777,as a dentist      s waiting room ,0
778,how inseparable the two are ,1
779,passive     aggressive psychology ,1
780,disastrous ,0
781,very funny as you peek at it through the fingers in front of your eyes ,1
782,the film     while it      s not completely wreaked     is seriously compromised by that ,0
783,makes an amazing breakthrough in her first starring role ,1
784,extended dialogue exercise ,0
785,shakespeare      s macbeth ,1
786,it has more in common with a fireworks display than a movie     which normally is expected to have characters and a storyline     ,0
787,it      s dull     spiritless     silly and monotonous     an ultra     loud blast of pointless mayhem     going nowhere fast     ,0
788,has a number of other assets to commend it to movie audiences both innocent and jaded ,1
789,          a movie that     quite simply     should n     t have been made     ,0
790,broomfield      s film does n     t capture the effect of these tragic deaths on hip     hop culture ,0
791,distinguishable ,1
792,the audience award for documentaries at the sundance film festival ,1
793,create characters who are sweet and believable     and are defeated by a screenplay that forces them into bizarre     implausible behavior ,0
794,tasteful ,1
795,disoriented but occasionally ,0
796,that      s too loud     too goofy and too short of an attention span ,0
797,it      s a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it     ,1
798,seems content to dog     paddle in the mediocre end of the pool     and it      s a sad     sick sight     ,0
799,rarely     a movie is more than a movie     ,1
800,so hilarious ,1
801,sane and breathtakingly creative film ,1
802,the best espionage picture ,1
803,is a success     ,1
804,the film reminds me of a vastly improved germanic version of my big fat greek wedding            with better characters     some genuine quirkiness and at least a measure of style     ,1
805,are terribly wasted     ,0
806,on three short films and two features ,1
807,contrived and exploitative for the art houses and too cynical     small and decadent for the malls     ,0
808,impress about e   t    ,1
809,less funny than it should be and ,0
810,hey     those farts got to my inner nine     year     old ,1
811,has been ,1
812,sad schlock merchant ,0
813,would be hard     pressed to find a movie with a bigger     fatter heart than barbershop     ,1
814,the mothman prophecies     which is mostly a bore ,0
815,you      re rooting for the film to hurry up and get to its subjects       deaths just so the documentary will be over ,0
816,the cultural moat surrounding its ludicrous and contrived plot ,0
817,eager fans ,1
818,unforgivingly ,0
819,out of character and logically ,0
820,is an undeniably fascinating and playful fellow     ,1
821,a wonderful     ghastly film ,1
822,a pathetically ,0
823,a glorified sitcom     and a long     unfunny one at that ,0
824,loses its ability to shock and amaze ,0
825,to the filmmakers     ivan is a prince of a fellow     but he comes across as shallow and glib though not mean     spirited     and there      s no indication that he      s been responsible for putting together any movies of particular value or merit ,0
826,made     on all levels     ,1
827,another generic drama ,0
828,is a visual treat for all audiences ,1
829,dreary ,0
830,career     defining revelation ,1
831,it      s a setup so easy it borders on facile     but ,0
832,of those films that aims to confuse ,0
833,the audience award ,1
834,a mesmerizing cinematic poem from the first frame to the last ,1
835,y tu mamá también is hilariously     gloriously alive     and quite often hotter than georgia asphalt     ,1
836,outweigh the positives ,0
837,so prolonged and boring ,0
838,the idea of exploiting molestation for laughs is funny     not actually exploiting it yourself ,0
839,simply feeling like no other film in recent history ,1
840,take care is nicely performed by a quintet of actresses ,1
841,is a subzero version of monsters     inc        without the latter      s imagination     ,0
842,sensational true     crime ,1
843,about the long and eventful spiritual journey of the guru who helped ,1
844,no major discoveries     nor any stylish sizzle ,0
845,one key problem with these ardently christian storylines ,0
846,sporadic dips ,1
847,feels uncomfortably real     its language and locations bearing the unmistakable stamp of authority     ,1
848,who anchors the film with his effortless performance and that trademark grin of his            so perfect for a ballplayer ,1
849,seem disappointing in its generalities ,0
850,will find in these characters       foibles a timeless and unique perspective     ,1
851,a side dish no one ordered ,0
852,is an enjoyable big movie primarily ,1
853,set in a 1986 harlem that does n     t look much like anywhere in new york ,0
854,a poignant comedy that offers food for thought     ,1
855,to emerge as an exquisite motion picture in its own right ,1
856,the richness ,1
857,the chateau has one very funny joke and a few other decent ones     ,1
858,highly spirited ,1
859,meditative and ,1
860,elegance and maturity ,1
861,whether or not ,0
862,a voice for a pop     cyber culture ,1
863,does n     t sustain its initial promise with a jarring     new     agey tone creeping into the second half ,0
864,proves himself a deft pace master and stylist     ,1
865,constructs a hilarious ode to middle america and middle age with this unlikely odyssey     featuring a pathetic     endearing hero who is all too human     ,1
866,aan opportunity wasted     ,0
867,bringing you right inside the massive waves that lifts blue crush into one of the summer      s most pleasurable movies ,1
868,a brazenly misguided project ,0
869,might be like trying to eat brussels sprouts     ,0
870,he thinks the film is just as much a document about him as it is about the subject     ,0
871,dime     store psychology ,0
872,wooden performances ,0
873,fast     funny     and even touching story ,1
874,the film has a terrific look ,1
875,liked it just enough ,1
876,          flat     out amusing     sometimes endearing and often fabulous     with a solid cast     noteworthy characters     delicious dialogue and a wide supply of effective sight gags     ,1
877,of the audience award for documentaries at the sundance film festival ,1
878,because the movie serves up all of that stuff     nearly subliminally     as the old     hat province of male intrigue ,0
879,kouyate elicits strong performances from his cast     and he delivers a powerful commentary on how governments lie     no matter who runs them     ,1
880,of a troubadour     his acolytes     and the triumph of his band ,1
881,tiresome cliché ,0
882,the new film of anton chekhov      s the cherry orchard ,1
883,it drags ,0
884,are the hallmark of this bittersweet     uncommonly sincere movie that portrays the frank humanity of           emotional recovery     ,1
885,are flat ,0
886,surprisingly sweet and gentle comedy ,1
887,adds substantial depth ,1
888,most virtuous ,1
889,attributable to a movie like this ,1
890,are undermined by the movie      s presentation     which is way too stagy ,0
891,worth ,1
892,not many movies have that kind of impact on me these days     ,1
893,is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ,0
894,out     of     kilter character ,0
895,stiff and schmaltzy and clumsily ,0
896,also comes with the laziness and arrogance of a thing that already knows it      s won     ,0
897,kissing ,1
898,95 minutes ,1
899,artwork ,1
900,          visually striking and slickly staged ,1
901,undisciplined ,0
902,doing something of a public service            shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans ,1
903,           unfilmable            novels ,0
904,by the time the credits roll across the pat ending ,0
905,otherwise appalling     and downright creepy     subject ,0
906,pretentious mess ,0
907,a brutal and funny ,1
908,suspect that you      ll be as bored watching morvern callar as the characters are in it ,0
909,suited to a quiet evening on pbs ,0
910,thought     provoking and stylish ,1
911,endure instead of ,0
912,the flawed support structure ,0
913,for illustrating the merits of fighting hard for something that really matters ,1
914,even touch us ,1
915,we really have n     t had a good cheesy b     movie playing in theaters since           well           since last week      s reign of fire ,0
916,a photographic marvel of sorts     and it ,1
917,make them laugh ,1
918,von sydow           is itself intacto      s luckiest stroke ,1
919,for its logical loopholes     which fly by so fast there      s no time to think about them anyway ,0
920,a well     crafted film that is all the more remarkable because it ,1
921,of a movie saddled with an amateurish screenplay ,0
922,acute writing and a host of splendid performances ,1
923,lacks it     ,0
924,everyone making it ,1
925,    its shortness disappoints ,0
926,and withholds delivery ,0
927,warmth ,1
928,delicate coming     of     age tale ,1
929,it certainly does n     t feel like a film that strays past the two and a half mark ,1
930,teetering on the edge of sanity ,0
931,a child      s interest and ,1
932,the symbols of loss and denial and life     at     arm      s       length in the film seem irritatingly transparent ,0
933,lowered your entertainment standards ,0
934,own placid way ,0
935,every so often a film comes along that is so insanely stupid     so awful in so many ways that watching it leaves you giddy     ,0
936,          an incredibly heavy     handed     manipulative dud that feels all too familiar     ,0
937,is the ultimate movie experience ,1
938,finish     like a wet burlap sack of gloom ,0
939,most politically audacious ,1
940,sustains the level of exaggerated     stylized humor throughout by taking your expectations and twisting them just a bit     ,1
941,so that it certainly does n     t feel like a film that strays past the two and a half mark ,1
942,i hated myself in the morning     ,0
943,elevate it beyond its formula to the level of classic romantic comedy to which it aspires ,1
944,he shows and empathizes with the victims he reveals ,1
945,become a caricature            not even with that radioactive hair ,0
946,    wan na watch a movie in which a guy dressed as a children      s party clown gets violently gang     raped     ,0
947,squirm     inducing fish     out     of     water formula ,0
948,in the spirit of the season ,1
949,even during the climactic hourlong cricket match     boredom never takes hold     ,1
950,cleverly captures the dry wit that      s so prevalent on the rock ,1
951,an invaluable historical document thanks to the filmmaker      s extraordinary access to massoud     whose charm     cultivation and devotion to his people are readily apparent     ,1
952,succeeded ,1
953,it      s rare for any movie to be as subtle and touching as the son      s room     ,1
954,loses himself to the film      s circular structure ,0
955,a visual delight and ,1
956,chafing ,0
957,you      re on the edge of your seat ,1
958,to the most crucial lip     reading sequence ,0
959,to abandon the theater ,0
960,such a horrible movie ,0
961,toilet ,0
962,but a little too smugly superior ,0
963,comes from its soul      s       eye view of how well     meaning patronizing masked a social injustice     at least as represented by this case ,1
964,will marvel at the sometimes murky     always brooding look of i am trying to break your heart     ,1
965,feels rigged and sluggish ,0
966,it      s hard to resist his enthusiasm     even if the filmmakers come up with nothing original in the way of slapstick sequences ,1
967,an interesting look at the life of the campaign     trail press     especially ones ,1
968,like a soft drink that      s been sitting open too long     it      s too much syrup and not enough fizz ,0
969,an unmistakable     easy joie de vivre ,1
970,catch the intensity of the movie      s strangeness ,1
971,personal tragedy and ,0
972,have used my two hours better watching being john malkovich again ,0
973,distanced us from the characters ,0
974,by the power and grace of one of the greatest natural sportsmen of modern times ,1
975,slack and ,0
976,an uninspired philosophical epiphany ,0
977,the holiday message of the 37     minute santa vs    the snowman leaves a lot to be desired     ,0
978,smart movie ,1
979,tainted by cliches     painful improbability and murky points ,0
980,a stylish cast and some clever scripting solutions ,1
981,the intoxicating fumes and emotional ghosts of a freshly painted rembrandt ,1
982,has a delightfully dour     deadpan tone and stylistic consistency ,1
983,fascinating connections ,1
984,is a brilliant movie     ,1
985,have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for ,1
986,compatible ,1
987,the nifty premise ,1
988,further ,1
989,it      s a hellish     numbing experience to watch     and it does n     t offer any insights that have n     t been thoroughly debated in the media already     back in the dahmer heyday of the mid            90s ,0
990,avoids most of the pitfalls you      d expect in such a potentially sudsy set     up ,1
991,is a perfect family film to take everyone to since there      s no new            a christmas carol            out in the theaters this year ,1
992,the people who live in them     who have carved their own comfortable niche in the world and have been kind enough to share it ,1
993,a good video game movie ,1
994,it      s mildly interesting to ponder the peculiar american style of justice that plays out here     but it      s so muddled and derivative that few will bother thinking it all through ,0
995,the most original in years ,1
996,that it looks neat ,1
997,the plot of the comeback curlers is n     t very interesting actually     ,0
998,vastly entertaining ,1
999,to a mix of the shining     the thing     and any naked teenagers horror flick ,0
1000,she of the impossibly long limbs and sweetly conspiratorial smile ,1
1001,pack it with enough action to satisfy the boom     bam crowd without a huge sacrifice of character and mood ,1
1002,confusing on one level or another ,0
1003,has rewards     from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes     ,1
1004,wildly overproduced ,0
1005,dead     water     weight ,0
1006,another arnold vehicle that fails to make adequate use of his particular talents     ,0
1007,     s a very tasteful rock and roll movie     ,1
1008,from an adventurous young talent who finds his inspiration on the fringes of the american underground ,1
1009,is whether these ambitions     laudable in themselves     justify a theatrical simulation of the death camp of auschwitz ii     birkenau ,0
1010,all in all     it      s a pretty good execution of a story that      s a lot richer than the ones hollywood action screenwriters usually come up with on their own     ,1
1011,awful movie ,0
1012,is exhaustion     from watching a movie that is dark     dark green     to be exact         sour     bloody and mean ,0
1013,me ,1
1014,boll uses a lot of quick cutting and blurry step     printing to goose things up ,1
1015,over the head with a moral ,1
1016,is one big excuse to play one lewd scene after another     ,0
1017,just might go down as one of the all     time great apocalypse movies     ,1
1018,blatant and sickening product placement ,0
1019,tired old vision ,0
1020,          a cheap     ludicrous attempt at serious horror     ,0
1021,worthwhile themes ,1
1022,have much panache     but with material this rich it does n     t need it ,1
1023,i like all four of the lead actors a lot and ,1
1024,did n     t smile     ,0
1025,great films ,1
1026,its funny     moving yarn that holds up well after two decades ,1
1027,too cliched ,0
1028,     s often overwritten     ,0
1029,thuds ,0
1030,gently ,1
1031,more curious ,1
1032,a distinctly minor effort that will be seen to better advantage on cable     especially considering its barely feature     length running time of one hour     ,0
1033,comes across as stick figures reading lines from a teleprompter     ,0
1034,funny in a sick     twisted sort of way     ,1
1035,one oscar nomination ,1
1036,it were that grand a failure ,0
1037,pig ,0
1038,endless trailer ,0
1039,diesel is that rare creature            an action hero with table manners     and one who proves that elegance is more than tattoo deep     ,1
1040,encourages you to accept it as life and go with its flow ,1
1041,the production has been made with an enormous amount of affection     so we believe these characters love each other ,1
1042,redemption ,1
1043,there      s no point of view     no contemporary interpretation of joan      s prefeminist plight     so we      re left thinking the only reason to make the movie is because present standards allow for plenty of nudity     ,0
1044,go to a bank manager and save everyone the misery ,0
1045,that      s barely shocking     barely interesting and most of all     barely anything ,0
1046,for a few comic turns ,1
1047,dizzy ,0
1048,team ,1
1049,is not a classical dramatic animated feature     nor a hip     contemporary     in     jokey one     ,0
1050,earnest     unsubtle and hollywood     predictable ,0
1051,have ransacked every old world war ii movie for overly familiar material ,0
1052,it      s just too dry and too placid ,0
1053,that anyone in his right mind would want to see the it ,0
1054,retread     with the emphasis on self     empowering schmaltz and big     wave surfing that gives pic its title an afterthought ,0
1055,to perform entertaining tricks ,1
1056,    you wo n     t find anything to get excited about on this dvd     ,0
1057,might sit through this summer that do not involve a dentist drill ,0
1058,     s routine is offensive     puerile and unimaginatively foul     mouthed if it was at least funny ,0
1059,the overall fabric is hypnotic     and mr    mattei fosters moments of spontaneous intimacy ,1
1060,one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then ,1
1061,is sadly ,0
1062,kill the effect ,0
1063,sensation ,1
1064,wishing for a watch that makes time go faster rather than the other way ,0
1065,a markedly inactive film ,0
1066,of slapstick sequences ,1
1067,wish you had n     t seen ,0
1068,must     see ,1
1069,forces you to ponder anew what a movie can be ,1
1070,the film has the thrown     together feel of a summer     camp talent show     hastily written     underrehearsed     arbitrarily plotted and filled with crude humor and vulgar innuendo     ,0
1071,delicious pulpiness ,1
1072,releasing a film with the word       dog       in its title in january lends itself to easy jokes and insults     and ,0
1073,is a small gem ,1
1074,one of the most appealing movies ever made about an otherwise appalling     and downright creepy     subject            a teenage boy in love with his stepmother ,1
1075,the problem with antwone fisher is that it has a screenplay written by antwone fisher based on the book by antwone fisher     ,0
1076,that there      s a casual intelligence that permeates the script ,1
1077,little action     ,0
1078,poor quality ,0
1079,susan sarandon ,1
1080,darling ,1
1081,crippled children ,0
1082,and gently humorous ,1
1083,                     something appears to have been lost in the translation this time     ,0
1084,the better of obnoxious adults ,0
1085,the film is hard to dismiss            moody     thoughtful     and lit by flashes of mordant humor     ,1
1086,perceptive     good     natured ,1
1087,genuine acting ,1
1088,is hard to dismiss            moody     thoughtful     ,1
1089,without sacrificing its high     minded appeal ,1
1090,sexy     surprising romance ,1
1091,hokum but ,0
1092,of menacing atmosphere ,1
1093,unlike so many other hollywood movies of its ilk ,1
1094,the kind of entertainment that parents love to have their kids see     ,1
1095,light     years ahead of paint     by     number american blockbusters like pearl harbor     at least artistically     ,1
1096,make us share their enthusiasm ,1
1097,the reunion ,1
1098,davis       highly personal brand of romantic comedy is a tart     smart breath of fresh air ,1
1099,not just unlikable     ,0
1100,bears about as much resemblance to the experiences of most battered women as spider     man ,0
1101,you had already seen that movie ,0
1102,a milquetoast movie of the week blown up for the big screen ,0
1103,one decent performance from the cast and not one clever line of dialogue ,0
1104,lots of sloppiness ,0
1105,feels like a teenybopper ed wood film     replete with the pubescent scandalous innuendo and the high     strung but flaccid drama ,0
1106,who     in spite of all that he      s witnessed     remains surprisingly idealistic ,1
1107,the earnestness ,1
1108,its unflinching gaze a measure of faith in the future ,1
1109,see a movie that takes such a speedy swan dive from            promising            to            interesting            to            familiar            ,0
1110,because relatively nothing happens ,0
1111,is weighed down by supporting characters who are either too goodly     wise and knowing or downright comically evil     ,0
1112,lost some of the dramatic conviction that underlies the best of comedies ,0
1113,     s fun     wispy ,1
1114,crass and insulting ,0
1115,dream ,1
1116,work up ,1
1117,a breadth of vision ,1
1118,it overstays its natural running time ,0
1119,find much fascination in the swinging ,1
1120,a timid     soggy near miss ,0
1121,the ideal casting of the masterful british actor ian holm ,1
1122,scarily funny     sorrowfully sympathetic to the damage it surveys ,1
1123,most hollywood romantic comedies ,0
1124,definitely in the guilty pleasure b     movie category     reign of fire is so incredibly inane that it is laughingly enjoyable     ,1
1125,there      s a reason why halftime is only fifteen minutes long     ,0
1126,grossly ,0
1127,sit through it all ,1
1128,squanders as much as it gives out     ,0
1129,the nicest thing that can be said about stealing harvard     which might have been called freddy gets molested by a dog     ,0
1130,woven together handsomely ,1
1131,    it wears out its welcome as tryingly as the title character     ,0
1132,to realize that they      ve already seen this exact same movie a hundred times ,0
1133,personal velocity seems to be idling in neutral ,0
1134,          is less concerned with cultural and political issues than doting on its eccentric characters     ,0
1135,fully formed ,1
1136,spell things out for viewers ,0
1137,you realize that deep inside righteousness can be found a tough beauty ,1
1138,enough to sit through crap like this ,0
1139,charming     thought     provoking new york fest ,1
1140,too intensely focused on the travails of being hal hartley to function as pastiche ,0
1141,the real issues ,1
1142,but it works under the direction of kevin reynolds ,1
1143,giving the movie a mournful undercurrent that places the good     time shenanigans in welcome perspective ,1
1144,neither protagonist has a distinguishable condition ,0
1145,the only thing avary seems to care about are mean giggles and pulchritude     ,0
1146,    the project should have been made for the tube     ,0
1147,in artful     watery tones of blue     green and brown ,1
1148,     s insecure in lovely and amazing     ,1
1149,the very simple story seems too simple and the working out of the plot almost arbitrary     ,0
1150,     ll feel like you ate a reeses without the peanut butter ,0
1151,precocious ,0
1152,as earnest as a community     college advertisement     american chai is enough to make you put away the guitar     sell the amp     and apply to medical school     ,0
1153,an overly familiar scenario ,0
1154,this film is part of that delicate canon ,1
1155,are incredibly captivating and insanely funny     ,1
1156,     s surprisingly decent     ,1
1157,good spirits ,1
1158,nazi politics and aesthetics ,0
1159,is unconvincing soap opera that tornatore was right to cut ,0
1160,romped up and down the aisles for bathroom breaks ,0
1161,at least three dull plots ,0
1162,a venturesome     beautifully realized psychological mood piece that reveals its first     time feature director ,1
1163,to vaporize from your memory minutes after it ends ,0
1164,though it pretends to expose the life of male hustlers ,0
1165,are underwhelming ,0
1166,enjoyed the love story ,1
1167,always looks good ,1
1168,is as close as you can get to an imitation movie ,0
1169,because     the leads     are such a companionable couple ,1
1170,more to be prescribed than recommended            as visually bland as a dentist      s waiting room     complete with soothing muzak and a cushion of predictable narrative rhythms     ,0
1171,it      s kind of insulting     both to men and women     ,0
1172,    1   8 million charmer ,1
1173,whimsical ,1
1174,well worthwhile ,1
1175,spinning a web of dazzling entertainment may be overstating it     but            spider     man            certainly delivers the goods     ,1
1176,it      s an enjoyable trifle nonetheless ,1
1177,realizing that you      ve spent the past 20 minutes looking at your watch and waiting for frida to just die already ,0
1178,only prove that       zany       does n     t necessarily mean       funny ,0
1179,makes up for it with a pleasing verisimilitude ,1
1180,shabby digital photography ,0
1181,the el cheapo margaritas ,0
1182,tough to be startled when you      re almost dozing ,0
1183,with one of france      s most inventive directors ,1
1184,sweeping     dramatic     ,1
1185,suspense on different levels ,1
1186,at the absurdities and inconsistencies ,0
1187,he      s a charismatic charmer likely to seduce and conquer     ,1
1188,    sad dance ,0
1189,political and psychological thriller ,1
1190,ability to shock and amaze ,1
